name,product_unit,houshold_size,gross_income,mean,median,std,method,unit
Other purchased transport services,CHF,,,573.5,573.5,0,Ecological Scarcity total 2021,UBP
Other services and losses relating to renting,CHF,,,271.5,271.5,5.684e-14,Ecological Scarcity total 2021,UBP
Other services in entertainment and culture,CHF,,,363.1,363.1,1.137e-13,Ecological Scarcity total 2021,UBP
Other sugary or cocoa-based foods,kilogram,,,3.717e+04,2.736e+04,6.658e+05,Ecological Scarcity total 2021,UBP
Other tropical fruits,kilogram,,,1445,1535,5773,Ecological Scarcity total 2021,UBP
Other vegetable fats,kilogram,,,1.01e+04,1.02e+04,2526,Ecological Scarcity total 2021,UBP
Other vegetable oils and edible animal fats,litre,,,1.086e+05,-1.575e+04,6.916e+06,Ecological Scarcity total 2021,UBP
Package holidays,CHF,,,1076,1076,0,Ecological Scarcity total 2021,UBP
Passenger transport by sea and inland waterway,CHF,,,3105,3105,0,Ecological Scarcity total 2021,UBP
Pasta products,kilogram,,,5167,5254,2414,Ecological Scarcity total 2021,UBP
Pears and quinces,kilogram,,,7924,7923,4368,Ecological Scarcity total 2021,UBP
Pets and related products,CHF,,,1963,1963,4.547e-13,Ecological Scarcity total 2021,UBP
Photographic and cinematographic equipment and optical instruments,CHF,,,1010,1010,3.411e-13,Ecological Scarcity total 2021,UBP
Plants and other non-durable goods for gardening,CHF,,,4241,4241,9.095e-13,Ecological Scarcity total 2021,UBP
Plastic or paper refuse bags without fees,CHF,,,1245,1245,2.274e-13,Ecological Scarcity total 2021,UBP
"Pork, fresh or frozen",kilogram,,,-3.296e+05,-5.983e+05,1.175e+07,Ecological Scarcity total 2021,UBP
Portable computers,unit,,,9.222e+04,1.282e+05,1.754e+06,Ecological Scarcity total 2021,UBP
Postal services,CHF,,,356.7,356.7,0,Ecological Scarcity total 2021,UBP
Potatoes,kilogram,,,3981,3987,846.7,Ecological Scarcity total 2021,UBP
Potatoes-based products and other tuber vegetables,kilogram,,,-1533,-2935,7.726e+05,Ecological Scarcity total 2021,UBP
"Poultry, fresh or frozen",kilogram,,,-3.278e+05,-4.112e+05,8.918e+06,Ecological Scarcity total 2021,UBP
"Poultry, grilled or smoked",kilogram,,,-2.176e+05,-3.761e+05,6.37e+06,Ecological Scarcity total 2021,UBP
Premiums for life insurance,CHF,,,152,152,0,Ecological Scarcity total 2021,UBP
Preserved fruits,kilogram,,,9863,9992,5511,Ecological Scarcity total 2021,UBP
Printers (incl. multifunctional printers),unit,,,3.22e+04,3.73e+04,2.65e+05,Ecological Scarcity total 2021,UBP
Processed eggs,kilogram,,,0,0,0,Ecological Scarcity total 2021,UBP
Purchases and rent of telephones and telefax machines,CHF,,,2423,2423,0,Ecological Scarcity total 2021,UBP
Pure and ground coffee,kilogram,,,-3.129e+04,-4.417e+05,8.362e+06,Ecological Scarcity total 2021,UBP
Ready-made foods,kilogram,,,-7300,-6.858e+04,3.533e+06,Ecological Scarcity total 2021,UBP
"Refrigerators, dishwashers, washing machines and dryers",CHF,,,1043,1043,2.274e-13,Ecological Scarcity total 2021,UBP
Refuse collection costs at principal residence,number of waste bags,,,3104,3068,898,Ecological Scarcity total 2021,UBP
Regular maintenance costs of principal residence,CHF,,,628,628,0,Ecological Scarcity total 2021,UBP
Rent for equipment and DVDs and CDs,CHF,,,413.6,413.6,1.137e-13,Ecological Scarcity total 2021,UBP
Rent of sports and recreational goods,CHF,,,413.6,413.6,1.137e-13,Ecological Scarcity total 2021,UBP
Repair and hire of footwear,CHF,,,413.6,413.6,1.137e-13,Ecological Scarcity total 2021,UBP
Repair of household appliances,CHF,,,413.6,413.6,1.137e-13,Ecological Scarcity total 2021,UBP
"Restaurants, cafés and bars",CHF,,,1072,1072,0,Ecological Scarcity total 2021,UBP
Rice,kilogram,,,1.291e+04,1.399e+04,1.675e+04,Ecological Scarcity total 2021,UBP
Sandwich,kilogram,,,3895,-8.763e+04,3.175e+06,Ecological Scarcity total 2021,UBP
"Sauces, seasonings and condiments",kilogram,,,-5231,-1.313e+04,1.549e+06,Ecological Scarcity total 2021,UBP
"Sausages, cold meat and pies",kilogram,,,-2.961e+05,-5.38e+05,1.058e+07,Ecological Scarcity total 2021,UBP
"Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate",kilogram,,,2.653e+04,2.675e+04,8481,Ecological Scarcity total 2021,UBP
Self-service restaurants and take-aways,CHF,,,1072,1072,0,Ecological Scarcity total 2021,UBP
Services of hairdressers and beauty salons,CHF,,,271.5,271.5,5.684e-14,Ecological Scarcity total 2021,UBP
Services of internet providers,CHF,,,356.7,356.7,0,Ecological Scarcity total 2021,UBP
"Services of sports and recreational facilities, without ski lifts",CHF,,,363.1,363.1,1.137e-13,Ecological Scarcity total 2021,UBP
Sewing and knitting products,CHF,,,1043,1043,2.274e-13,Ecological Scarcity total 2021,UBP
Sheep and Goat meat,kilogram,,,-6.407e+04,-1.636e+05,5.734e+06,Ecological Scarcity total 2021,UBP
Skimmed and low-fat milk,litre,,,-1.228e+04,-1.379e+04,9.392e+05,Ecological Scarcity total 2021,UBP
Small electric household appliances,CHF,,,1043,1043,2.274e-13,Ecological Scarcity total 2021,UBP
"Small trout, 250-350g, conventional, at farm gate",kilogram,,,6828,4106,3.133e+05,Ecological Scarcity total 2021,UBP
Soaps and foam baths,kilogram,,,1.961e+04,1.03e+04,7.62e+05,Ecological Scarcity total 2021,UBP
Social protection services,CHF,,,624.3,624.3,0,Ecological Scarcity total 2021,UBP
"Sound carriers, data carriers, videotapes and films",CHF,,,533,533,1.137e-13,Ecological Scarcity total 2021,UBP
Soups and bouillons,kilogram,,,-2.099e+04,-1.589e+04,8.738e+05,Ecological Scarcity total 2021,UBP
Spirits,litre,,,7028,7028,3763,Ecological Scarcity total 2021,UBP
Sports and crafting classes,CHF,,,363.1,363.1,1.137e-13,Ecological Scarcity total 2021,UBP
Stakes,CHF,,,363.1,363.1,1.137e-13,Ecological Scarcity total 2021,UBP
Stem vegetables,kilogram,,,2478,2556,7730,Ecological Scarcity total 2021,UBP
Stone fruit,kilogram,,,8933,9030,2742,Ecological Scarcity total 2021,UBP
Subscriptions to cable television,CHF,,,363.1,363.1,1.137e-13,Ecological Scarcity total 2021,UBP
Subscriptions to private television,CHF,,,363.1,363.1,1.137e-13,Ecological Scarcity total 2021,UBP
