name,product_unit,houshold_size,gross_income,mean,median,std,method,unit
Other leisure-time courses,CHF,,,0.1075,0.1075,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
Other non-durable household articles,CHF,,,0.1127,0.1127,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
Other personal effects,CHF,,,0.4556,0.4556,0,GWP100 IPCC 2021,kg CO2-eq
Other products for personal care,CHF,,,0.0009313,0.0009313,4.337e-19,GWP100 IPCC 2021,kg CO2-eq
Other purchased transport services,CHF,,,0.1737,0.1737,0,GWP100 IPCC 2021,kg CO2-eq
Other services and losses relating to renting,CHF,,,0.08012,0.08012,0,GWP100 IPCC 2021,kg CO2-eq
Other services in entertainment and culture,CHF,,,0.1075,0.1075,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
Other sugary or cocoa-based foods,kilogram,,,5.191,5.167,0.3511,GWP100 IPCC 2021,kg CO2-eq
Other tropical fruits,kilogram,,,0.3912,0.3923,0.5956,GWP100 IPCC 2021,kg CO2-eq
Other vegetable fats,kilogram,,,0.8472,0.8402,0.08614,GWP100 IPCC 2021,kg CO2-eq
Other vegetable oils and edible animal fats,litre,,,5.995,5.829,1.265,GWP100 IPCC 2021,kg CO2-eq
Package holidays,CHF,,,0.2774,0.2774,5.551e-17,GWP100 IPCC 2021,kg CO2-eq
Passenger transport by sea and inland waterway,CHF,,,1.723,1.723,4.441e-16,GWP100 IPCC 2021,kg CO2-eq
Pasta products,kilogram,,,0.482,0.4797,0.035,GWP100 IPCC 2021,kg CO2-eq
Pears and quinces,kilogram,,,0.5888,0.5899,0.198,GWP100 IPCC 2021,kg CO2-eq
Pets and related products,CHF,,,0.3594,0.3594,0,GWP100 IPCC 2021,kg CO2-eq
Photographic and cinematographic equipment and optical instruments,CHF,,,0.2038,0.2038,8.327e-17,GWP100 IPCC 2021,kg CO2-eq
Plants and other non-durable goods for gardening,CHF,,,0.4968,0.4968,5.551e-17,GWP100 IPCC 2021,kg CO2-eq
Plastic or paper refuse bags without fees,CHF,,,0.2739,0.2739,5.551e-17,GWP100 IPCC 2021,kg CO2-eq
"Pork, fresh or frozen",kilogram,,,13.11,12.98,1.238,GWP100 IPCC 2021,kg CO2-eq
Portable computers,unit,,,55.74,54.12,19.47,GWP100 IPCC 2021,kg CO2-eq
Postal services,CHF,,,0.09453,0.09453,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
Potatoes,kilogram,,,0.1123,0.1116,0.009167,GWP100 IPCC 2021,kg CO2-eq
